section,description,unitPrice,unitPriceNumber,exampleFile,row
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Air-Ride Compact Process Trailer,375.00,375.0,Q Cheyenne Elite Tracking Vehicle & Air Ride Compact Process Trailer 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"""A"" Frame - Car Towing Rig - Driving cast must hold full driving licence - Car needs to tested for A Frame Compatibility. If it wont A Frame the Tow Dolly may be an option (2 Man Crew Required)",150.00,150.0,Q Cheyenne Elite Tracking Vehicle & Air Ride Compact Process Trailer 2026.xls,16
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Tracking Tow-Dolly (2 Man Crew Required),230.00,230.0,Q Cheyenne Elite Tracking Vehicle & Air Ride Compact Process Trailer 2026.xls,17
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Rear Wheel Lifters for Tow Dolly,155.00,155.0,Q Cheyenne Elite Tracking Vehicle & Air Ride Compact Process Trailer 2026.xls,18
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"""A"" Frame - Car Towing Rig - Driving cast must hold full driving licence - Car needs to be tested for A Frame Compatibility. If it wont A Frame the Tow Dolly may be an option (2 Man Crew Required)",150.00,150.0,Q Cheyenne Elite Tracking Vehicle 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Motorcycle Hydraulic Banking Rig (Towing Rig),585.00,585.0,Q Cheyenne with Banking Rig 2026.xls,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Motorcycle Mini Low Loader,225.00,225.0,Q Cheyenne with Banking Rig 2026.xls,17
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Testing at Bickers- No Charge for Equipment - Labour,95.00,95.0,Q Cheyenne with Banking Rig 2026.xls,19
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Dodge Ram Elite Tracking Vehicle,755.00,755.0,Q Dodge Elite Nov 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"""A"" Frame - Car Towing Rig - Driving cast must hold full driving licence - Car needs to tested for A Frame Compatibility prior to the shoot. If it wont A Frame the Tow Dolly may be an option",150.00,150.0,Q Dodge Elite Nov 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Tracking Tow Dolly - 2 Crew Required for this equipment,230.00,230.0,Q Dodge Elite Nov 2026.xls,16
