"file","sheet","row","section","description","qty","unitPrice","total","totalFormula","qtyFormula","unitPriceFormula","isSectionOrHeader"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","46","Travel Charges","","Total Price","","£   1,832.25","=SUM(G13:G45)-2*G18","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","47","Travel Charges","","Excludes VAT","","","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","10","Silverado Elite  Tracking Vehicle and Motorcycle Hydraulic Banking Rig - 2 Man Crew Required","DESCRIPTION","QTY","UNIT PRICE","TOTAL","","","","True"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","12","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","","","","True"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","13","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Silverado Elite Tracking Vehicle","1","850.00","850.00","=E13*F13","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","14","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Motorcycle Hydraulic Banking Rig (Towing Rig)","","635.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Front Fork Attachments","","288.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","16","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","5K Generator (Built in Generator) Including Fuel","","180.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","17","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Camera Crane Mounting Kit","","175.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","18","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Motorcycle Mini Low Loader","","250.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","19","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Universal ""A"" Frame (Car Towing Frame)","","150.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","20","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Basic Riggers Scaffolding  Kit","","95.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","21","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Pre-Rigging & Additional Equipment","","","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","22","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment Discount","Less","","-","=SUM(G13:G20)*F22","","","True"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","24","Labour Rates - Daily Rates - 2 x Crew","Labour Rates - Daily Rates - 2 x Crew","","","","","","","True"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","25","Labour Rates - Daily Rates - 2 x Crew","To Services of Driver/Technician per 10hr Cont. Day (Call to Wrap)","1","585.00","585.00","=E25*F25","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","26","Labour Rates - Daily Rates - 2 x Crew","Overtime Charged @ 1.5T  (Inc. Pre-Calls & Call Times Prior to 07:00)","","87.75","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","27","Labour Rates - Daily Rates - 2 x Crew","Sunday and Bank Holiday Work charged at Double Time","","585.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","28","Labour Rates - Daily Rates - 2 x Crew","Turnaround Day After Night Work Chargeable from 23:59","","585.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","29","Labour Rates - Daily Rates - 2 x Crew","Supplementary charge for Late Working between 22:00 & 23:59","","292.50","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","30","Labour Rates - Daily Rates - 2 x Crew","Supplementary charge applies for Saturday working","","292.50","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","31","Labour Rates - Daily Rates - 2 x Crew","Commercials - Sundays, Night Work charged at 2T /  Saturday Charged 1.5T - APA","","585.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","32","Labour Rates - Daily Rates - 2 x Crew","Recce Charge per man","","585.00","TBC","","","","False"
"PB Q Silverado Elite Motorcle Banking 2026.xls","Bickers Action Quote","34","Travel Charges","Travel Charges","","","","","","","True"
